,Book,Author,Year,month
588,Live Wire,Harlan Coben,2011,April
589,The Land of Painted Caves,Jean M. Auel,2011,April
590,The Fifth Witness,Michael Connelly,2011,April
591,Chasing Fire,Nora Roberts,2011,May
593,The Sixth Man,David Baldacci,2011,May
597,Dead Reckoning,Charlaine Harris,2011,June
598,Dreams of Joy,Lisa See,2011,June
599,Hit List,Laurell K. Hamilton,2011,June
600,Against All Enemies,Tom Clancy with Peter Telep,2011,July
601,Smokin' Seventeen,Janet Evanovich,2011,July
603,Now You See Her,James Patterson and Michael Ledwidge,2011,July
606,Ghost Story,Jim Butcher,2011,August
607,Cold Vengeance,Douglas Preston and Lincoln Child,2011,August
608,A Dance with Dragons,George R. R. Martin,2011,August
609,The Omen Machine,Terry Goodkind,2011,September
610,Flash and Bones,Kathy Reichs,2011,September
612,Kill Me If You Can,James Patterson and Marshall Karp,2011,September
613,New York to Dallas,J. D. Robb,2011,October
614,Heat Rises,Richard Castle,2011,October
615,The Affair,Lee Child,2011,October
616,Shock Wave,John Sandford,2011,October
618,The Best of Me,Nicholas Sparks,2011,November
619,The Litigators,John Grisham,2011,November
620,Zero Day,David Baldacci,2011,November
622,Kill Alex Cross,James Patterson,2011,December
623,Explosive Eighteen,Janet Evanovich,2011,December
624,The Drop,Michael Connelly,2011,December
627,11/22/63,Stephen King,2012,January
628,77 Shadow Street,Dean Koontz,2012,January
630,Believing the Lie,Elizabeth George,2012,January
631,Private: #1 Suspect,James Patterson and Maxine Paetro,2012,February
632,Taken,Robert Crais,2012,February
633,Home Front,Kristin Hannah,2012,February
634,Kill Shot,Vince Flynn,2012,February
635,Private Games,James Patterson,2012,March
636,Celebrity in Death,J. D. Robb,2012,March
665,A Wanted Man,Lee Child,2012,September
666,Winter of the World,Ken Follett,2012,October
667,The Casual Vacancy,J. K. Rowling,2012,October
669,Reflected in You,Sylvia Day,2012,October
670,The Bone Bed,Patricia Cornwell,2012,November
673,The Perfect Hope,Nora Roberts,2012,November
674,The Last Man,Vince Flynn,2012,December
675,Notorious Nineteen,Janet Evanovich,2012,December
676,The Black Box,Michael Connelly,2012,December
677,Threat Vector,Tom Clancy,2012,December
679,The Racketeer,John Grisham,2013,January
683,A Memory of Light,Robert Jordan and Brandon Sanderson,2013,February
684,Private Berlin,James Patterson and Mark Sullivan,2013,February
686,Until the End of Time,Danielle Steel,2013,February
687,A Week in Winter,Maeve Binchy,2013,March
689,Calculated in Death,J. D. Robb,2013,March
690,Reckless,S.C. Stephens,2013,March
691,"Alex Cross, Run",James Patterson,2013,March
692,Six Years,Harlan Coben,2013,April
693,Lover At Last,J. R. Ward,2013,April
694,Walking Disaster,Jamie McGuire,2013,April
695,The Bet,Rachel Van Dyken,2013,April
696,Whiskey Beach,Nora Roberts,2013,May
697,The Hit,David Baldacci,2013,May
698,12th of Never,James Patterson and Maxine Paetro,2013,May
699,Dead Ever After,Charlaine Harris,2013,May
703,Entwined With You,Sylvia Day,2013,June
706,Second Honeymoon,James Patterson and Howard Roughan,2013,July
707,Inferno,Dan Brown,2013,July
708,Hidden Order,Brad Thor,2013,July
712,Burn,Maya Banks,2013,August
714,The Cuckoo's Calling,Robert Galbraith,2013,September
715,How the Light Gets In,Louise Penny,2013,September
716,Never Go Back,Lee Child,2013,September
717,W is for Wasted,Sue Grafton,2013,September
718,The Longest Ride,Nicholas Sparks,2013,October
719,Doctor Sleep,Stephen King,2013,October
720,Gone,James Patterson and Michael Ledwidge,2013,October
721,Storm Front,John Sandford,2013,October
722,Just One Evil Act,Elizabeth George,2013,November
724,Dark Witch,Nora Roberts,2013,November
